epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,7555.25,0.62651,0.44043,1.00113,0.92536,0.78463,0.82774,0.36011,2.27868,1.19382,2.77649,0.0013466,0.0013466,0.0013466
167,7597.82,0.62682,0.43384,1.00873,0.91868,0.71508,0.81258,0.35485,2.35127,1.05749,2.68111,0.00134264,0.00134264,0.00134264
168,7639.59,0.62007,0.42632,0.99543,0.78499,0.73945,0.78847,0.34746,2.31773,1.01008,2.81679,0.00133868,0.00133868,0.00133868
169,7681.25,0.62758,0.4349,1.00966,0.89266,0.74684,0.80179,0.32364,2.47216,0.99631,3.33545,0.00133472,0.00133472,0.00133472
170,7723.05,0.62729,0.44244,1.0042,0.82617,0.72194,0.79504,0.34273,2.43712,0.97692,2.98367,0.00133076,0.00133076,0.00133076
171,7765.29,0.61869,0.42965,0.99249,0.88398,0.73418,0.79475,0.31882,2.53477,0.96401,3.20573,0.0013268,0.0013268,0.0013268
172,7807.38,0.61738,0.43142,0.99655,0.83189,0.75168,0.77591,0.31895,2.45557,0.96058,3.04939,0.00132284,0.00132284,0.00132284
173,7849.3,0.61327,0.42369,0.98952,0.90259,0.75949,0.80374,0.34402,2.39586,0.92542,2.92558,0.00131888,0.00131888,0.00131888
174,7891.53,0.58718,0.41727,0.98596,0.78901,0.71006,0.73543,0.30379,2.46871,1.08211,3.08885,0.00131492,0.00131492,0.00131492
175,7933.94,0.59383,0.424,0.99647,0.84843,0.70856,0.77978,0.33651,2.43757,0.89184,3.22935,0.00131096,0.00131096,0.00131096
176,7976.09,0.60271,0.41901,0.99157,0.86283,0.74684,0.78991,0.33704,2.48142,0.95848,3.06442,0.001307,0.001307,0.001307
177,8018.42,0.62072,0.43779,0.99888,0.88214,0.75799,0.80951,0.32636,2.47835,0.96189,2.98722,0.00130304,0.00130304,0.00130304
